mp_name,,riding,,mp_email
Sameer Zuberi,,Pierrefonds—Dollard,,Sameer.Zuberi@parl.gc.ca
Bob Zimmer,,Prince George—Peace River—Northern Rockies,,bob.zimmer@parl.gc.ca
Honourable John Zerucelli,,Etobicoke North,,john.zerucelli@parl.gc.ca
Salma Zahid,,Scarborough Centre—Don Valley East,,salma.zahid@parl.gc.ca
Jean Yip,,Scarborough—Agincourt,,Jean.Yip@parl.gc.ca
John Williamson,,Saint John—St. Croix,,John.Williamson@parl.gc.ca
Honourable Jonathan Wilkinson,,North Vancouver—Capilano,,jonathan.wilkinson@parl.gc.ca
Patrick Weiler,,West Vancouver—Sunshine Coast—Sea to Sky Country,,Patrick.Weiler@parl.gc.ca
Kevin Waugh,,Saskatoon South,,kevin.waugh@parl.gc.ca
Tim Watchorn,,Les Pays-d'en-Haut,,tim.watchorn@parl.gc.ca
Chris Warkentin,,Grande Prairie,,chris.warkentin@parl.gc.ca
Cathay Wagantall,,Yorkton—Melville,,cathay.wagantall@parl.gc.ca
Brad Vis,,Mission—Matsqui—Abbotsford,,Brad.Vis@parl.gc.ca
Louis Villeneuve,,Brome—Missisquoi,,louis.villeneuve@parl.gc.ca
Arnold Viersen,,Peace River—Westlock,,arnold.viersen@parl.gc.ca
Dominique Vien,,Bellechasse—Les Etchemins—Lévis,,dominique.vien@parl.gc.ca
Anita Vandenbeld,,Ottawa West—Nepean,,anita.vandenbeld@parl.gc.ca
Tako Van Popta,,Langley Township—Fraser Heights,,Tako.VanPopta@parl.gc.ca
Honourable Adam van Koeverden,,Burlington North—Milton West,,Adam.vanKoeverden@parl.gc.ca
Honourable Rechie Valdez,,Mississauga—Streetsville,,rechie.valdez@parl.gc.ca
Honourable Tim Uppal,,Edmonton Gateway,,Tim.Uppal@parl.gc.ca
Ryan Turnbull,,Whitby,,Ryan.Turnbull@parl.gc.ca
Fraser Tolmie,,Moose Jaw—Lake Centre—Lanigan,,fraser.tolmie@parl.gc.ca
Corey Tochor,,Saskatoon—University,,Corey.Tochor@parl.gc.ca
Honourable Joanne Thompson,,St. John's East,,joanne.thompson@parl.gc.ca
Rachael Thomas,,Lethbridge,,rachael.thomas@parl.gc.ca
Luc Thériault,,Montcalm,,luc.theriault@parl.gc.ca
Kristina Tesser Derksen,,Milton East—Halton Hills South,,kristina.tesserderksen@parl.gc.ca
Honourable Jenna Sudds,,Kanata,,jenna.sudds@parl.gc.ca
Shannon Stubbs,,Lakeland,,shannon.stubbs@parl.gc.ca
Matt Strauss,,Kitchener South—Hespeler,,matt.strauss@parl.gc.ca
Mark Strahl,,Chilliwack—Hope,,Mark.Strahl@parl.gc.ca
William Stevenson,,Yellowhead,,william.stevenson@parl.gc.ca
Warren Steinley,,Regina—Lewvan,,Warren.Steinley@parl.gc.ca
Gabriel Ste-Marie,,Joliette—Manawan,,gabriel.ste-marie@parl.gc.ca
Eric St-Pierre,,Honoré-Mercier,,eric.st-pierre@parl.gc.ca
Charles Sousa,,Mississauga—Lakeshore,,charles.sousa@parl.gc.ca
Honourable Evan Solomon,,Toronto Centre,,evan.solomon@parl.gc.ca
Amandeep Sodhi,,Brampton Centre,,amandeep.sodhi@parl.gc.ca
Clifford Small,,Central Newfoundland,,clifford.small@parl.gc.ca
Mario Simard,,Jonquière,,Mario.Simard@parl.gc.ca
Sonia Sidhu,,Brampton South,,sonia.sidhu@parl.gc.ca
Honourable Maninder Sidhu,,Brampton East,,Maninder.Sidhu@parl.gc.ca
